date,state,district,total_bio_updates
2025-04-30,RAJASTHAN,CHITTAURGARH,122
2025-04-30,RAJASTHAN,CHITTORGARH,4644
2025-04-30,RAJASTHAN,CHURU,13137
2025-04-30,RAJASTHAN,DAUSA,10064
2025-04-30,RAJASTHAN,DHOLPUR,6203
2025-04-30,RAJASTHAN,DUNGARPUR,7868
2025-04-30,RAJASTHAN,GANGANAGAR,10394
2025-04-30,RAJASTHAN,HANUMANGARH,10299
2025-04-30,RAJASTHAN,JAIPUR,40432
2025-04-30,RAJASTHAN,JAISALMER,4431
2025-04-30,RAJASTHAN,JALOR,9097
2025-04-30,RAJASTHAN,JHALAWAR,5668
2025-04-30,RAJASTHAN,JHUNJHUNU,90
2025-04-30,RAJASTHAN,JHUNJHUNUN,11680
2025-04-30,RAJASTHAN,JODHPUR,24226
2025-04-30,RAJASTHAN,KARAULI,6940
2025-04-30,RAJASTHAN,KOTA,8995
2025-04-30,RAJASTHAN,NAGAUR,19779
2025-04-30,RAJASTHAN,PALI,14799
2025-04-30,RAJASTHAN,PRATAPGARH,4800
2025-04-30,RAJASTHAN,RAJSAMAND,5043
2025-04-30,RAJASTHAN,SAWAI MADHOPUR,7821
2025-04-30,RAJASTHAN,SIKAR,17322
2025-04-30,RAJASTHAN,SIROHI,6747
2025-04-30,RAJASTHAN,TONK,7113
2025-04-30,RAJASTHAN,UDAIPUR,15797
2025-04-30,SIKKIM,EAST,964
2025-04-30,SIKKIM,EAST SIKKIM,616
2025-04-30,SIKKIM,NORTH,46
2025-04-30,SIKKIM,NORTH SIKKIM,129
2025-04-30,SIKKIM,SOUTH,655
2025-04-30,SIKKIM,SOUTH SIKKIM,403
2025-04-30,SIKKIM,WEST,875
2025-04-30,SIKKIM,WEST SIKKIM,848
2025-04-30,TAMIL NADU,ARIYALUR,8928
2025-04-30,TAMIL NADU,CHENGALPATTU,452
2025-04-30,TAMIL NADU,CHENNAI,23630
2025-04-30,TAMIL NADU,COIMBATORE,24680
2025-04-30,TAMIL NADU,CUDDALORE,17329
2025-04-30,TAMIL NADU,DHARMAPURI,10278
2025-04-30,TAMIL NADU,DINDIGUL,21854
2025-04-30,TAMIL NADU,ERODE,13367
2025-04-30,TAMIL NADU,KALLAKURICHI,376
2025-04-30,TAMIL NADU,KANCHEEPURAM,23779
2025-04-30,TAMIL NADU,KANNIYAKUMARI,5272
2025-04-30,TAMIL NADU,KANYAKUMARI,1872
2025-04-30,TAMIL NADU,KARUR,6126
2025-04-30,TAMIL NADU,KRISHNAGIRI,11083
2025-04-30,TAMIL NADU,MADURAI,24984
2025-04-30,TAMIL NADU,MAYILADUTHURAI,155
2025-04-30,TAMIL NADU,NAGAPATTINAM,7891
2025-04-30,TAMIL NADU,NAMAKKAL,12639
2025-04-30,TAMIL NADU,PERAMBALUR,4769
2025-04-30,TAMIL NADU,PUDUKKOTTAI,13417
2025-04-30,TAMIL NADU,RAMANATHAPURAM,10352
2025-04-30,TAMIL NADU,RANIPET,30
2025-04-30,TAMIL NADU,SALEM,29710
2025-04-30,TAMIL NADU,SIVAGANGA,9466
2025-04-30,TAMIL NADU,TENKASI,544
2025-04-30,TAMIL NADU,THANJAVUR,18634
2025-04-30,TAMIL NADU,THE NILGIRIS,3762
2025-04-30,TAMIL NADU,THENI,9939
2025-04-30,TAMIL NADU,THIRUVALLUR,98
2025-04-30,TAMIL NADU,THIRUVARUR,6451
2025-04-30,TAMIL NADU,THOOTHUKKUDI,15678
2025-04-30,TAMIL NADU,TIRUCHIRAPPALLI,21034
2025-04-30,TAMIL NADU,TIRUNELVELI,22048
2025-04-30,TAMIL NADU,TIRUPATTUR,1344
2025-04-30,TAMIL NADU,TIRUPPUR,15700
2025-04-30,TAMIL NADU,TIRUVALLUR,23239
2025-04-30,TAMIL NADU,TIRUVANNAMALAI,16788
2025-04-30,TAMIL NADU,VELLORE,21312
2025-04-30,TAMIL NADU,VILLUPURAM,11939
2025-04-30,TAMIL NADU,VILUPPURAM,8679
2025-04-30,TAMIL NADU,VIRUDHUNAGAR,11862
2025-04-30,TELANGANA,ADILABAD,5817
2025-04-30,TELANGANA,BHADRADRI KOTHAGUDEM,1201
2025-04-30,TELANGANA,HANUMAKONDA,1046
2025-04-30,TELANGANA,HYDERABAD,21042
2025-04-30,TELANGANA,JAGITIAL,762
2025-04-30,TELANGANA,JANGOAN,409
2025-04-30,TELANGANA,JAYASHANKAR BHUPALPALLY,298
2025-04-30,TELANGANA,JOGULAMBA GADWAL,972
2025-04-30,TELANGANA,K.V. RANGAREDDY,22541
2025-04-30,TELANGANA,KAMAREDDY,981
2025-04-30,TELANGANA,KARIMNAGAR,12019
2025-04-30,TELANGANA,KHAMMAM,3958
2025-04-30,TELANGANA,KOMARAM BHEEM,809
2025-04-30,TELANGANA,MAHABUBABAD,761
2025-04-30,TELANGANA,MAHABUBNAGAR,17232
2025-04-30,TELANGANA,MANCHERIAL,865
2025-04-30,TELANGANA,MEDAK,9432
2025-04-30,TELANGANA,MEDCHAL-MALKAJGIRI,2881
2025-04-30,TELANGANA,MULUGU,405
2025-04-30,TELANGANA,NAGARKURNOOL,922
2025-04-30,TELANGANA,NALGONDA,11220
2025-04-30,TELANGANA,NARAYANPET,447
2025-04-30,TELANGANA,NIRMAL,686
2025-04-30,TELANGANA,NIZAMABAD,9051
2025-04-30,TELANGANA,PEDDAPALLI,356
2025-04-30,TELANGANA,RAJANNA SIRCILLA,513
2025-04-30,TELANGANA,RANGAREDDY,353
2025-04-30,TELANGANA,SANGAREDDY,1449
2025-04-30,TELANGANA,SIDDIPET,791
2025-04-30,TELANGANA,SURYAPET,1399
2025-04-30,TELANGANA,VIKARABAD,909
2025-04-30,TELANGANA,WANAPARTHY,840
2025-04-30,TELANGANA,WARANGAL,7633
2025-04-30,TELANGANA,WARANGAL RURAL,518
2025-04-30,TELANGANA,WARANGAL URBAN,694
2025-04-30,TELANGANA,YADADRI.,948
2025-04-30,TRIPURA,DHALAI,6173
2025-04-30,TRIPURA,DHALAI  *,131
2025-04-30,TRIPURA,GOMATI,2596
2025-04-30,TRIPURA,KHOWAI,1492
2025-04-30,TRIPURA,NORTH TRIPURA,6550
2025-04-30,TRIPURA,SEPAHIJALA,3365
2025-04-30,TRIPURA,SOUTH TRIPURA,8887
2025-04-30,TRIPURA,UNAKOTI,3870
2025-04-30,TRIPURA,WEST TRIPURA,14551
2025-04-30,UTTAR PRADESH,AGRA,33549
2025-04-30,UTTAR PRADESH,ALIGARH,27466
2025-04-30,UTTAR PRADESH,ALLAHABAD,36917
2025-04-30,UTTAR PRADESH,AMBEDKAR NAGAR,9240
2025-04-30,UTTAR PRADESH,AMETHI,10463
2025-04-30,UTTAR PRADESH,AMROHA,13399
2025-04-30,UTTAR PRADESH,AURAIYA,7057
2025-04-30,UTTAR PRADESH,AYODHYA,912
2025-04-30,UTTAR PRADESH,AZAMGARH,21765
2025-04-30,UTTAR PRADESH,BAGHPAT,6767
2025-04-30,UTTAR PRADESH,BAHRAICH,25465
2025-04-30,UTTAR PRADESH,BALLIA,14789
2025-04-30,UTTAR PRADESH,BALRAMPUR,12054
2025-04-30,UTTAR PRADESH,BANDA,11142
2025-04-30,UTTAR PRADESH,BARA BANKI,20515
2025-04-30,UTTAR PRADESH,BARABANKI,369
2025-04-30,UTTAR PRADESH,BAREILLY,30874
2025-04-30,UTTAR PRADESH,BASTI,14864
2025-04-30,UTTAR PRADESH,BHADOHI,915
2025-04-30,UTTAR PRADESH,BIJNOR,25940
2025-04-30,UTTAR PRADESH,BUDAUN,12493
2025-04-30,UTTAR PRADESH,BULANDSHAHR,24012
2025-04-30,UTTAR PRADESH,CHANDAULI,12999
2025-04-30,UTTAR PRADESH,CHITRAKOOT,8724
2025-04-30,UTTAR PRADESH,DEORIA,19054
2025-04-30,UTTAR PRADESH,ETAH,16015
2025-04-30,UTTAR PRADESH,ETAWAH,10511
2025-04-30,UTTAR PRADESH,FAIZABAD,11953
2025-04-30,UTTAR PRADESH,FARRUKHABAD,9184
2025-04-30,UTTAR PRADESH,FATEHPUR,14634
2025-04-30,UTTAR PRADESH,FIROZABAD,18369
2025-04-30,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,12209
2025-04-30,UTTAR PRADESH,GHAZIABAD,25479
2025-04-30,UTTAR PRADESH,GHAZIPUR,21531
2025-04-30,UTTAR PRADESH,GONDA,21336
2025-04-30,UTTAR PRADESH,GORAKHPUR,22131
2025-04-30,UTTAR PRADESH,HAMIRPUR,5455
2025-04-30,UTTAR PRADESH,HAPUR,6422
2025-04-30,UTTAR PRADESH,HARDOI,28936
2025-04-30,UTTAR PRADESH,HATHRAS,11425
2025-04-30,UTTAR PRADESH,JALAUN,9649
2025-04-30,UTTAR PRADESH,JAUNPUR,19977
2025-04-30,UTTAR PRADESH,JHANSI,13805
2025-04-30,UTTAR PRADESH,KANNAUJ,9617
2025-04-30,UTTAR PRADESH,KANPUR DEHAT,10172
2025-04-30,UTTAR PRADESH,KANPUR NAGAR,23101
2025-04-30,UTTAR PRADESH,KASGANJ,9283
2025-04-30,UTTAR PRADESH,KAUSHAMBI,15091
2025-04-30,UTTAR PRADESH,KHERI,20716
2025-04-30,UTTAR PRADESH,KUSHINAGAR,17568
2025-04-30,UTTAR PRADESH,LALITPUR,8158
2025-04-30,UTTAR PRADESH,LUCKNOW,29657
2025-04-30,UTTAR PRADESH,MAHARAJGANJ,12020
2025-04-30,UTTAR PRADESH,MAHOBA,4839
2025-04-30,UTTAR PRADESH,MAINPURI,7018
2025-04-30,UTTAR PRADESH,MATHURA,14998
2025-04-30,UTTAR PRADESH,MAU,9923
2025-04-30,UTTAR PRADESH,MEERUT,22580
2025-04-30,UTTAR PRADESH,MIRZAPUR,14747
2025-04-30,UTTAR PRADESH,MORADABAD,23572
2025-04-30,UTTAR PRADESH,MUZAFFARNAGAR,22791
2025-04-30,UTTAR PRADESH,PILIBHIT,18835
2025-04-30,UTTAR PRADESH,PRATAPGARH,18841
2025-04-30,UTTAR PRADESH,PRAYAGRAJ,2802
2025-04-30,UTTAR PRADESH,RAE BARELI,17113
2025-04-30,UTTAR PRADESH,RAMPUR,20457
2025-04-30,UTTAR PRADESH,SAHARANPUR,22730
2025-04-30,UTTAR PRADESH,SAMBHAL,14273
2025-04-30,UTTAR PRADESH,SANT KABIR NAGAR,13378
2025-04-30,UTTAR PRADESH,SANT RAVIDAS NAGAR,8564
2025-04-30,UTTAR PRADESH,SHAHJAHANPUR,17543
2025-04-30,UTTAR PRADESH,SHAMLI,15145
2025-04-30,UTTAR PRADESH,SHRAWASTI,7627
2025-04-30,UTTAR PRADESH,SIDDHARTHNAGAR,13591
2025-04-30,UTTAR PRADESH,SITAPUR,41243
2025-04-30,UTTAR PRADESH,SONBHADRA,14982
2025-04-30,UTTAR PRADESH,SULTANPUR,11511
2025-04-30,UTTAR PRADESH,UNNAO,19683
2025-04-30,UTTAR PRADESH,VARANASI,22514
2025-04-30,UTTARAKHAND,ALMORA,3751
2025-04-30,UTTARAKHAND,BAGESHWAR,2604
2025-04-30,UTTARAKHAND,CHAMOLI,3617
2025-04-30,UTTARAKHAND,CHAMPAWAT,2768
2025-04-30,UTTARAKHAND,DEHRADUN,13193
2025-04-30,UTTARAKHAND,HARIDWAR,10249
2025-04-30,UTTARAKHAND,NAINITAL,7025
2025-04-30,UTTARAKHAND,PAURI GARHWAL,3746
2025-04-30,UTTARAKHAND,PITHORAGARH,3472
2025-04-30,UTTARAKHAND,RUDRAPRAYAG,2464
2025-04-30,UTTARAKHAND,TEHRI GARHWAL,5729
2025-04-30,UTTARAKHAND,UDHAM SINGH NAGAR,11421
2025-04-30,UTTARAKHAND,UTTARKASHI,3433
2025-04-30,WEST BENGAL,ALIPURDUAR,791
2025-04-30,WEST BENGAL,BANKURA,9284
2025-04-30,WEST BENGAL,BARDDHAMAN,17363
2025-04-30,WEST BENGAL,BARDHAMAN,750
2025-04-30,WEST BENGAL,BIRBHUM,8961
2025-04-30,WEST BENGAL,COOCH BEHAR,5221
2025-04-30,WEST BENGAL,DAKSHIN DINAJPUR,5451
2025-04-30,WEST BENGAL,DARJEELING,4564
2025-04-30,WEST BENGAL,DARJILING,245
2025-04-30,WEST BENGAL,EAST MIDNAPORE,2012
2025-04-30,WEST BENGAL,HAORA,2722
2025-04-30,WEST BENGAL,HOOGHLY,16973
2025-04-30,WEST BENGAL,HOWRAH,11176
2025-04-30,WEST BENGAL,JALPAIGURI,9153
2025-04-30,WEST BENGAL,JHARGRAM,414
2025-04-30,WEST BENGAL,KALIMPONG,50
2025-04-30,WEST BENGAL,KOCH BIHAR,1084
2025-04-30,WEST BENGAL,KOLKATA,10560
2025-04-30,WEST BENGAL,MALDA,9397
2025-04-30,WEST BENGAL,MALDAH,1039
2025-04-30,WEST BENGAL,MURSHIDABAD,21881
2025-04-30,WEST BENGAL,NADIA,14140
2025-04-30,WEST BENGAL,NORTH 24 PARGANAS,22911
2025-04-30,WEST BENGAL,NORTH TWENTY FOUR PARGANAS,1061
2025-04-30,WEST BENGAL,PASCHIM BARDHAMAN,1349
2025-04-30,WEST BENGAL,PASCHIM MEDINIPUR,12704
2025-04-30,WEST BENGAL,PURBA BARDHAMAN,1562
2025-04-30,WEST BENGAL,PURBA MEDINIPUR,12259
2025-04-30,WEST BENGAL,PURULIA,320
2025-04-30,WEST BENGAL,PURULIYA,8949
2025-04-30,WEST BENGAL,SOUTH 24 PARGANAS,22710
2025-04-30,WEST BENGAL,SOUTH DINAJPUR,145
2025-04-30,WEST BENGAL,SOUTH TWENTY FOUR PARGANAS,2641
2025-04-30,WEST BENGAL,UTTAR DINAJPUR,9293
2025-04-30,WEST BENGAL,WEST MIDNAPORE,1297
2025-05-31,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,180
2025-05-31,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,84
2025-05-31,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,522
2025-05-31,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,1109
2025-05-31,ANDHRA PRADESH,ADILABAD,3418
2025-05-31,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,2089
2025-05-31,ANDHRA PRADESH,ANAKAPALLI,1045
2025-05-31,ANDHRA PRADESH,ANANTAPUR,11682
2025-05-31,ANDHRA PRADESH,ANANTHAPUR,12658
2025-05-31,ANDHRA PRADESH,ANANTHAPURAMU,19399
2025-05-31,ANDHRA PRADESH,ANNAMAYYA,1912
2025-05-31,ANDHRA PRADESH,BAPATLA,811
2025-05-31,ANDHRA PRADESH,CHITTOOR,34888
2025-05-31,ANDHRA PRADESH,CUDDAPAH,24556
2025-05-31,ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,1029
2025-05-31,ANDHRA PRADESH,EAST GODAVARI,40983
2025-05-31,ANDHRA PRADESH,ELURU,1535
2025-05-31,ANDHRA PRADESH,GUNTUR,40540
2025-05-31,ANDHRA PRADESH,HYDERABAD,11023
2025-05-31,ANDHRA PRADESH,KAKINADA,2014
2025-05-31,ANDHRA PRADESH,KARIM NAGAR,156
2025-05-31,ANDHRA PRADESH,KARIMNAGAR,1475
2025-05-31,ANDHRA PRADESH,KHAMMAM,3874
2025-05-31,ANDHRA PRADESH,KRISHNA,29999
2025-05-31,ANDHRA PRADESH,KURNOOL,50480
2025-05-31,ANDHRA PRADESH,MAHABUB NAGAR,116
2025-05-31,ANDHRA PRADESH,MAHBUBNAGAR,940
2025-05-31,ANDHRA PRADESH,MEDAK,1372
2025-05-31,ANDHRA PRADESH,N. T. R,2031
2025-05-31,ANDHRA PRADESH,NALGONDA,2342
2025-05-31,ANDHRA PRADESH,NANDYAL,1756
2025-05-31,ANDHRA PRADESH,NELLORE,24087
2025-05-31,ANDHRA PRADESH,NIZAMABAD,973
2025-05-31,ANDHRA PRADESH,PALNADU,1959
2025-05-31,ANDHRA PRADESH,PARVATHIPURAM MANYAM,1800
2025-05-31,ANDHRA PRADESH,PRAKASAM,33282
2025-05-31,ANDHRA PRADESH,RANGAREDDI,5287
2025-05-31,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,1974
2025-05-31,ANDHRA PRADESH,SRI SATHYA SAI,1781
2025-05-31,ANDHRA PRADESH,SRIKAKULAM,22755
2025-05-31,ANDHRA PRADESH,TIRUPATI,1899
2025-05-31,ANDHRA PRADESH,VISAKHAPATNAM,42735
2025-05-31,ANDHRA PRADESH,VIZIANAGARAM,21933
2025-05-31,ANDHRA PRADESH,WARANGAL,4896
2025-05-31,ANDHRA PRADESH,WEST GODAVARI,29917
2025-05-31,ANDHRA PRADESH,Y. S. R,1259
2025-05-31,ARUNACHAL PRADESH,ANJAW,190
2025-05-31,ARUNACHAL PRADESH,CHANGLANG,649
2025-05-31,ARUNACHAL PRADESH,DIBANG VALLEY,58
2025-05-31,ARUNACHAL PRADESH,EAST KAMENG,534
2025-05-31,ARUNACHAL PRADESH,EAST SIANG,258
2025-05-31,ARUNACHAL PRADESH,KRA DAADI,198
2025-05-31,ARUNACHAL PRADESH,KURUNG KUMEY,456
2025-05-31,ARUNACHAL PRADESH,LOHIT,454
2025-05-31,ARUNACHAL PRADESH,LONGDING,320
2025-05-31,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,233
2025-05-31,ARUNACHAL PRADESH,LOWER SIANG,22
2025-05-31,ARUNACHAL PRADESH,LOWER SUBANSIRI,351
2025-05-31,ARUNACHAL PRADESH,NAMSAI,836
2025-05-31,ARUNACHAL PRADESH,PAPUM PARE,1183
2025-05-31,ARUNACHAL PRADESH,SHI-YOMI,40
2025-05-31,ARUNACHAL PRADESH,SIANG,164
2025-05-31,ARUNACHAL PRADESH,TAWANG,227
2025-05-31,ARUNACHAL PRADESH,TIRAP,189
2025-05-31,ARUNACHAL PRADESH,UPPER SIANG,221
2025-05-31,ARUNACHAL PRADESH,UPPER SUBANSIRI,559
2025-05-31,ARUNACHAL PRADESH,WEST KAMENG,681
2025-05-31,ARUNACHAL PRADESH,WEST SIANG,482
2025-05-31,ASSAM,BAKSA,1994
2025-05-31,ASSAM,BARPETA,10174
2025-05-31,ASSAM,BISWANATH,1036
2025-05-31,ASSAM,BONGAIGAON,3305
2025-05-31,ASSAM,CACHAR,6194
2025-05-31,ASSAM,CHARAIDEO,593
2025-05-31,ASSAM,CHIRANG,1925
2025-05-31,ASSAM,DARRANG,2319
2025-05-31,ASSAM,DHEMAJI,1713
2025-05-31,ASSAM,DHUBRI,3937
2025-05-31,ASSAM,DIBRUGARH,2946
2025-05-31,ASSAM,GOALPARA,1922
2025-05-31,ASSAM,GOLAGHAT,1593
2025-05-31,ASSAM,HAILAKANDI,1114
2025-05-31,ASSAM,HOJAI,2081
2025-05-31,ASSAM,JORHAT,1267
2025-05-31,ASSAM,KAMRUP,4728
2025-05-31,ASSAM,KAMRUP METRO,3109
2025-05-31,ASSAM,KARBI ANGLONG,3493
2025-05-31,ASSAM,KARIMGANJ,2182
2025-05-31,ASSAM,KOKRAJHAR,2905
2025-05-31,ASSAM,LAKHIMPUR,2486
2025-05-31,ASSAM,MAJULI,411
2025-05-31,ASSAM,MARIGAON,2400
2025-05-31,ASSAM,NAGAON,8227
2025-05-31,ASSAM,NALBARI,1090
2025-05-31,ASSAM,NORTH CACHAR HILLS,328
2025-05-31,ASSAM,SIBSAGAR,941
2025-05-31,ASSAM,SONITPUR,3022
2025-05-31,ASSAM,SOUTH SALMARA MANKACHAR,214
2025-05-31,ASSAM,TINSUKIA,1948
2025-05-31,ASSAM,UDALGURI,2065
2025-05-31,ASSAM,WEST KARBI ANGLONG,179
2025-05-31,BIHAR,ARARIA,17189
2025-05-31,BIHAR,ARWAL,3187
2025-05-31,BIHAR,AURANGABAD,10361
2025-05-31,BIHAR,BANKA,13407
2025-05-31,BIHAR,BEGUSARAI,16435
2025-05-31,BIHAR,BHAGALPUR,15868
2025-05-31,BIHAR,BHOJPUR,9967
2025-05-31,BIHAR,BUXAR,6252
2025-05-31,BIHAR,DARBHANGA,24304
2025-05-31,BIHAR,EAST CHAMPARAN,23544
2025-05-31,BIHAR,GAYA,19626
2025-05-31,BIHAR,GOPALGANJ,13033
2025-05-31,BIHAR,JAMUI,9389
2025-05-31,BIHAR,JEHANABAD,3746
2025-05-31,BIHAR,KAIMUR (BHABUA),8292
2025-05-31,BIHAR,KATIHAR,22168
2025-05-31,BIHAR,KHAGARIA,8288
2025-05-31,BIHAR,KISHANGANJ,14499
2025-05-31,BIHAR,LAKHISARAI,5461
2025-05-31,BIHAR,MADHEPURA,13812
2025-05-31,BIHAR,MADHUBANI,30141
2025-05-31,BIHAR,MUNGER,5487
2025-05-31,BIHAR,MUZAFFARPUR,24700
2025-05-31,BIHAR,NALANDA,13092
2025-05-31,BIHAR,NAWADA,9006
2025-05-31,BIHAR,PATNA,25214
2025-05-31,BIHAR,PURNEA,512
2025-05-31,BIHAR,PURNIA,23802
2025-05-31,BIHAR,ROHTAS,11956
2025-05-31,BIHAR,SAHARSA,13372
2025-05-31,BIHAR,SAMASTIPUR,22996
2025-05-31,BIHAR,SARAN,16647
2025-05-31,BIHAR,SHEIKHPURA,4043
2025-05-31,BIHAR,SHEOHAR,3659
2025-05-31,BIHAR,SITAMARHI,21461
2025-05-31,BIHAR,SIWAN,14049
2025-05-31,BIHAR,SUPAUL,13593
2025-05-31,BIHAR,VAISHALI,20853
2025-05-31,BIHAR,WEST CHAMPARAN,18788
2025-05-31,CHANDIGARH,CHANDIGARH,6566
2025-05-31,CHHATTISGARH,BALOD,8855
2025-05-31,CHHATTISGARH,BALODA BAZAR,16217
2025-05-31,CHHATTISGARH,BALRAMPUR,4565
2025-05-31,CHHATTISGARH,BASTAR,9325
2025-05-31,CHHATTISGARH,BEMETARA,15837
2025-05-31,CHHATTISGARH,BIJAPUR,2586
2025-05-31,CHHATTISGARH,BILASPUR,19916
2025-05-31,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,2270
2025-05-31,CHHATTISGARH,DANTEWADA,1232
2025-05-31,CHHATTISGARH,DHAMTARI,10501
2025-05-31,CHHATTISGARH,DURG,19223
2025-05-31,CHHATTISGARH,GARIYABAND,4837
2025-05-31,CHHATTISGARH,GAURELA-PENDRA-MARWAHI,402
2025-05-31,CHHATTISGARH,JANJGIR-CHAMPA,16418
2025-05-31,CHHATTISGARH,JASHPUR,6539
2025-05-31,CHHATTISGARH,KABEERDHAM,3569
2025-05-31,CHHATTISGARH,KANKER,4633
2025-05-31,CHHATTISGARH,KAWARDHA,6948
2025-05-31,CHHATTISGARH,KONDAGAON,4448
2025-05-31,CHHATTISGARH,KORBA,10119
2025-05-31,CHHATTISGARH,KORIYA,5601
2025-05-31,CHHATTISGARH,MAHASAMUND,10070
2025-05-31,CHHATTISGARH,MOHLA-MANPUR-AMBAGARH CHOUKI,897
2025-05-31,CHHATTISGARH,MUNGELI,8287
2025-05-31,CHHATTISGARH,NARAYANPUR,2508
2025-05-31,CHHATTISGARH,RAIGARH,16216
2025-05-31,CHHATTISGARH,RAIPUR,22917
2025-05-31,CHHATTISGARH,RAJNANDGAON,14344
2025-05-31,CHHATTISGARH,SAKTI,399
2025-05-31,CHHATTISGARH,SUKMA,2580
2025-05-31,CHHATTISGARH,SURAJPUR,4737
2025-05-31,CHHATTISGARH,SURGUJA,6925
2025-05-31,CHHATTISGARH,UTTAR BASTAR KANKER,2795
2025-05-31,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,115
2025-05-31,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,3589
2025-05-31,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI,354
2025-05-31,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,86
2025-05-31,DAMAN & DIU,DAMAN,182
2025-05-31,DAMAN & DIU,DIU,120
2025-05-31,DAMAN AND DIU,DAMAN,457
2025-05-31,DAMAN AND DIU,DIU,345
2025-05-31,DELHI,CENTRAL DELHI,7715
2025-05-31,DELHI,EAST DELHI,17891
2025-05-31,DELHI,NAJAFGARH,170
2025-05-31,DELHI,NEW DELHI,530
2025-05-31,DELHI,NORTH DELHI,8393
2025-05-31,DELHI,NORTH EAST,8105
2025-05-31,DELHI,NORTH EAST DELHI,21232
2025-05-31,DELHI,NORTH WEST DELHI,46821
2025-05-31,DELHI,SHAHDARA,1353
2025-05-31,DELHI,SOUTH DELHI,31081
2025-05-31,DELHI,SOUTH EAST DELHI,82
2025-05-31,DELHI,SOUTH WEST DELHI,18978
2025-05-31,DELHI,WEST DELHI,25307
2025-05-31,GOA,NORTH GOA,4338
2025-05-31,GOA,SOUTH GOA,4390
2025-05-31,GUJARAT,AHMADABAD,2835
2025-05-31,GUJARAT,AHMEDABAD,64796
2025-05-31,GUJARAT,AMRELI,9974
2025-05-31,GUJARAT,ANAND,16489
2025-05-31,GUJARAT,ARVALLI,3602
2025-05-31,GUJARAT,BANASKANTHA,15622
2025-05-31,GUJARAT,BHARUCH,10201
2025-05-31,GUJARAT,BHAVNAGAR,20767
2025-05-31,GUJARAT,BOTAD,2122
2025-05-31,GUJARAT,CHHOTAUDEPUR,6682
2025-05-31,GUJARAT,DAHOD,15232
2025-05-31,GUJARAT,DEVBHUMI DWARKA,3641
2025-05-31,GUJARAT,DOHAD,1940
2025-05-31,GUJARAT,GANDHINAGAR,11676
2025-05-31,GUJARAT,GIR SOMNATH,4425
2025-05-31,GUJARAT,JAMNAGAR,14268
2025-05-31,GUJARAT,JUNAGADH,13599
2025-05-31,GUJARAT,KACHCHH,18781
2025-05-31,GUJARAT,KHEDA,14726
2025-05-31,GUJARAT,MAHESANA,12620
2025-05-31,GUJARAT,MAHISAGAR,3817
2025-05-31,GUJARAT,MORBI,5639
2025-05-31,GUJARAT,NARMADA,5388
2025-05-31,GUJARAT,NAVSARI,5644
2025-05-31,GUJARAT,PANCHMAHALS,11187
2025-05-31,GUJARAT,PATAN,9113
2025-05-31,GUJARAT,PORBANDAR,5187
2025-05-31,GUJARAT,RAJKOT,26960
2025-05-31,GUJARAT,SABARKANTHA,11694
2025-05-31,GUJARAT,SURAT,42415
2025-05-31,GUJARAT,SURENDRA NAGAR,13840
2025-05-31,GUJARAT,TAPI,5071
2025-05-31,GUJARAT,THE DANGS,4902
2025-05-31,GUJARAT,VADODARA,27318
2025-05-31,GUJARAT,VALSAD,10734
2025-05-31,HARYANA,AMBALA,8179
2025-05-31,HARYANA,BHIWANI,10516
2025-05-31,HARYANA,CHARKHI DADRI,1141
2025-05-31,HARYANA,FARIDABAD,11031
2025-05-31,HARYANA,FATEHABAD,6750
2025-05-31,HARYANA,GURGAON,8197
2025-05-31,HARYANA,HISAR,12338
2025-05-31,HARYANA,JHAJJAR,5753
2025-05-31,HARYANA,JIND,9678
2025-05-31,HARYANA,KAITHAL,8225
2025-05-31,HARYANA,KARNAL,10150
2025-05-31,HARYANA,KURUKSHETRA,7892
2025-05-31,HARYANA,MAHENDRAGARH,4691
2025-05-31,HARYANA,MEWAT,6181
2025-05-31,HARYANA,PALWAL,5678
2025-05-31,HARYANA,PANCHKULA,4161
2025-05-31,HARYANA,PANIPAT,7835
2025-05-31,HARYANA,REWARI,4359
2025-05-31,HARYANA,ROHTAK,8567
2025-05-31,HARYANA,SIRSA,9730
2025-05-31,HARYANA,SONIPAT,9873
2025-05-31,HARYANA,YAMUNA NAGAR,9887
2025-05-31,HIMACHAL PRADESH,BILASPUR,1861
2025-05-31,HIMACHAL PRADESH,CHAMBA,2930
2025-05-31,HIMACHAL PRADESH,HAMIRPUR,1620
2025-05-31,HIMACHAL PRADESH,KANGRA,6961
2025-05-31,HIMACHAL PRADESH,KINNAUR,334
